Start time,Attack Duration,Source IP,Attack Type,Total Packets,Total Bytes
2024-10-19 00:41:01,0.0004091262817382,83.233.54.239,Ping of Death,2,2084
2024-10-19 00:41:03,0.0005176067352294,103.186.33.118,SYN-ACK flood,2,114
2024-10-19 00:41:05,0.0003798007965087,192.168.150.129,Smurf,2,102
2024-10-19 00:41:07,0.0005526542663574,192.168.150.129,Smurf,2,102
2024-10-19 00:41:09,0.0003812313079833,5.171.220.236,Ping of Death,2,2084
2024-10-19 00:41:11,0.0004355907440185,141.241.110.204,Ping of Death,2,2084
2024-10-19 00:41:13,0.0006337165832519,233.192.114.180,SYN flood,2,114
2024-10-19 00:41:15,0.0011026859283447,192.168.150.129,Smurf,2,102
2024-10-19 00:41:17,0.0003774166107177,54.108.49.168,SYN-ACK flood,2,114
2024-10-19 00:41:19,0.0006008148193359,192.168.150.129,Smurf,2,102
2024-10-19 00:41:22,0.0005655288696289,254.151.240.215,Ping of Death,2,2084
2024-10-19 00:41:24,0.0004105567932128,72.59.84.227,SYN flood,2,114
2024-10-19 00:41:26,0.0003764629364013,160.74.31.223,SYN-ACK flood,2,114
2024-10-19 00:41:27,4.8160552978515625e-05,185.125.190.97,SYN-ACK flood,1,60
2024-10-19 00:41:28,0.0003142356872558,86.8.206.7,SYN flood,2,114
2024-10-19 00:41:30,0.0011332035064697,192.168.150.129,Smurf,2,102
2024-10-19 00:41:32,0.0008816719055175,251.37.97.126,SYN-ACK flood,2,114
2024-10-19 00:41:34,0.0003590583801269,88.132.70.197,SYN-ACK flood,2,114
2024-10-19 00:41:36,0.0010781288146972,192.168.150.129,Smurf,2,102
2024-10-19 00:41:38,0.0004708766937255,104.91.217.53,Ping of Death,2,2084
2024-10-19 00:41:40,0.0006980895996093,47.210.41.61,SYN-ACK flood,2,114
2024-10-19 00:41:42,0.0005559921264648,77.4.220.131,Ping of Death,2,2084
2024-10-19 00:41:46,0.0008635520935058,127.52.250.89,SYN flood,2,114
2024-10-19 00:41:48,0.0003893375396728,214.72.117.107,Ping of Death,2,2084
2024-10-19 00:41:50,0.0004389286041259,57.194.253.154,SYN flood,2,114
2024-10-19 00:41:52,0.0002710819244384,44.159.168.69,SYN flood,2,114
2024-10-19 00:41:54,0.0002851486206054,130.232.255.146,SYN flood,2,114
2024-10-19 00:41:56,0.0007112026214599,179.96.43.31,SYN-ACK flood,2,114
2024-10-19 00:41:58,0.0008261203765869,192.168.150.129,Smurf,2,102
2024-10-19 00:42:00,0.0002925395965576,97.165.121.63,SYN-ACK flood,2,114
2024-10-19 00:42:02,0.0003769397735595,216.74.119.183,SYN flood,2,114
2024-10-19 00:42:04,0.0010921955108642,192.168.150.129,Smurf,2,102
2024-10-19 00:42:06,0.0006952285766601,8.98.100.66,SYN-ACK flood,2,114
2024-10-19 00:42:08,0.000389814376831,139.165.97.126,SYN flood,2,114
2024-10-19 00:42:10,0.0009934902191162,192.168.150.129,Smurf,2,102
2024-10-19 00:42:12,0.0005075931549072,22.205.75.87,SYN-ACK flood,2,114
2024-10-19 00:42:14,0.000577688217163,235.32.136.5,Ping of Death,2,2084
2024-10-19 00:42:16,0.0004785060882568,35.189.251.222,Ping of Death,2,2084
2024-10-19 00:42:18,0.0005662441253662,110.203.57.226,SYN-ACK flood,2,114
2024-10-19 00:42:20,0.0002715587615966,176.178.59.219,SYN flood,2,114
2024-10-19 00:42:22,0.0003623962402343,209.179.111.141,SYN-ACK flood,2,114
2024-10-19 00:42:24,0.000633955001831,192.231.36.243,SYN flood,2,114
2024-10-19 00:42:26,0.0003209114074707,137.32.69.96,SYN flood,2,114
2024-10-19 00:42:28,0.0010492801666259,192.168.150.129,Smurf,2,102
2024-10-19 00:42:30,0.0005760192871093,56.212.102.208,SYN-ACK flood,2,114
2024-10-19 00:42:32,0.0005438327789306,73.79.42.192,Ping of Death,2,2084
2024-10-19 00:42:34,0.0003843307495117,17.90.65.118,Ping of Death,2,2084
2024-10-19 00:42:37,0.0010292530059814,192.168.150.129,Smurf,2,102
2024-10-19 00:42:39,0.0004427433013916,60.179.254.124,SYN-ACK flood,2,114
2024-10-19 00:42:41,0.000352144241333,105.159.148.121,Ping of Death,2,2084
2024-10-19 00:42:43,0.0008046627044677,192.168.150.129,Smurf,2,102
2024-10-19 00:42:45,0.0007820129394531,27.222.226.207,Ping of Death,2,2084
2024-10-19 00:42:47,0.0008533000946044,192.168.150.129,Smurf,2,102
2024-10-19 00:42:49,0.0004737377166748,195.1.97.215,Ping of Death,2,2084
2024-10-19 00:42:51,0.0004832744598388,200.237.194.191,SYN-ACK flood,2,114
2024-10-19 00:42:53,0.0013878345489501,192.168.150.129,Smurf,2,102
2024-10-19 00:42:55,0.0003905296325683,206.237.214.200,SYN-ACK flood,2,114
2024-10-19 00:42:57,0.000772476196289,202.255.122.214,SYN-ACK flood,2,114
2024-10-19 00:42:59,0.0004358291625976,96.134.144.139,SYN-ACK flood,2,114
2024-10-19 00:43:01,0.0014009475708007,192.168.150.129,Smurf,2,102
2024-10-19 00:43:03,0.0004606246948242,226.139.36.1,SYN flood,2,114
2024-10-19 00:43:05,0.0004000663757324,167.45.180.23,Ping of Death,2,2084
2024-10-19 00:43:07,0.0009372234344482,192.168.150.129,Smurf,2,102
2024-10-19 00:43:09,0.000439167022705,235.35.106.53,SYN flood,2,114
2024-10-19 00:43:11,0.000554084777832,62.173.78.91,SYN flood,2,114
2024-10-19 00:43:15,0.0007436275482177,110.224.153.224,Ping of Death,2,2084
2024-10-19 00:43:17,0.0003242492675781,148.167.173.25,SYN-ACK flood,2,114
2024-10-19 00:43:19,0.0004298686981201,148.158.237.128,SYN flood,2,114
2024-10-19 00:43:21,0.0003275871276855,248.60.224.56,SYN-ACK flood,2,114
2024-10-19 00:43:23,0.0005440711975097,36.133.202.163,Ping of Death,2,2084
2024-10-19 00:43:25,0.0013060569763183,192.168.150.129,Smurf,2,102
2024-10-19 00:43:27,0.0003790855407714,70.218.176.214,Ping of Death,2,2084
2024-10-19 00:43:29,0.0018362998962402,192.168.150.129,Smurf,2,102
2024-10-19 00:43:31,0.0002930164337158,185.248.192.27,SYN flood,2,114
2024-10-19 00:43:33,0.000342845916748,173.205.16.136,SYN flood,2,114
2024-10-19 00:43:35,0.0005028247833251,161.220.157.123,SYN flood,2,114
2024-10-19 00:43:37,0.0004982948303222,52.146.70.239,SYN flood,2,114
2024-10-19 00:43:39,0.0010874271392822,192.168.150.129,Smurf,2,102
2024-10-19 00:43:41,0.0004529953002929,86.118.176.7,SYN flood,2,114
2024-10-19 00:43:43,0.0002884864807128,168.124.159.10,SYN-ACK flood,2,114
2024-10-19 00:43:45,0.00075364112854,192.168.150.129,Smurf,2,102
